name,country,region,winery,rating,price,year,variety
Riserva Ducale Oro Chianti Classico (Gran Selezione Gold) ,Italy,Chianti Classico,Ruffino,3.9,34.99,2015,Chianti
Langhe Nebbiolo ,Italy,Langhe,La Spinetta,3.9,18.03,2017,Langhe Nebbiolo
Cellar Selection CarmenÃ¨re ,Chile,Central Valley,Santa Carolina,3.6,5.95,2018,Cellar Selection CarmenÃ¨re
Kallista ,South Africa,Stellenbosch,Vriesenhof,4.1,29.19,2013,Kallista
 Meses Red ,Spain,La Mancha,Volver,3.7,8.38,2017,Meses Red
Cabernet Sauvignon ,South Africa,Coastal Region,Fleur du Cap,3.6,12.03,2016,Cabernet Sauvignon
Cabernet Sauvignon (,South Africa,Stellenbosch,Boschendal,3.7,16.99,2016,Cabernet Sauvignon
Cabernet Sauvignon ,United States,Sonoma Valley,Schug,4.0,38.94,2015,Cabernet Sauvignon
Amarone della Valpolicella Monte Lodoletta ,Italy,Amarone della Valpolicella,Dal Forno Romano,4.7,270.63,2012,Amarone della Valpolicella Monte Lodoletta
Clos Baltasar ,Spain,Calatayud,San Alejandro,3.9,13.54,2015,Clos Baltasar
El Viejo ,Spain,Toro,Matsu,4.1,28.3,2017,El Viejo
Barolo La Serra ,Italy,Barolo,Mauro Molino,4.2,48.64,2014,Barolo La Serra
The Montelena Estate Cabernet Sauvignon ,United States,Calistoga,Chateau Montelena,4.4,153.9,2001,Cabernet Sauvignon
Seven Flags Pinot Noir ,South Africa,Elgin,Paul Cluver,4.3,56.74,2016,Pinot Noir
Arborina Barolo ,Italy,Barolo,Elio Altare,4.3,77.12,2013,Arborina Barolo
Reserva Special Blend ,Argentina,Patagonia,Bodega del Fin del Mundo,4.3,35.89,2016,Reserva Special Blend
CarmenÃ¨re Reserva ,Chile,Colchagua Valley,Apaltagua,3.6,10.5,2017,CarmenÃ¨re Reserva
Rioja La Vendimia ,Spain,Rioja,Palacios Remondo,3.7,8.87,2017,Rioja La Vendimia
The Footbolt Shiraz ,Australia,McLaren Vale,d'Arenberg,3.6,14.09,2016,The Footbolt Shiraz
Bicicleta Cabernet Sauvignon ,Chile,Central Valley,Cono Sur,3.5,6.9,2017,Cabernet Sauvignon
Rosso di Montalcino ,Italy,Rosso di Montalcino,Gianni Brunelli,4.0,35.58,2017,Rosso
La Cumbre Syrah ,Chile,Aconcagua Valley,Errazuriz,4.3,57.42,2014,Syrah
Grand Reserve ,South Africa,Stellenbosch,Delheim,4.0,25.7,2015,Grand Reserve
Rosso Piceno ,Italy,Rosso Piceno,Azienda Santa Barbara - Stefano Antonucci,3.5,7.5,2018,Rosso
Saint-Joseph Les Capelets ,France,Saint-Joseph,Pierre Amadieu,4.0,17.45,2015,Saint-Joseph Les Capelets
Brunello Di Montalcino Riserva ,Italy,Brunello di Montalcino,Caparzo,4.3,48.02,2009,Brunello Di Montalcino Riserva
Eight Songs Shiraz ,Australia,Barossa,Peter Lehmann,3.8,35.09,2013,Eight Songs Shiraz
Villa Cordevigo Rosso ,Italy,Rosso Veronese,Villabella,4.3,23.91,2012,Rosso
Les Terroirs CÃ´tes du Roussillon Villages ,France,CÃ´tes du Roussillon Villages,Calmel & Joseph,3.7,7.75,2015,Les Terroirs CÃ´tes du Roussillon Villages
Pian delle Mole Langhe Nebbiolo ,Italy,Langhe,Giulia Negri,3.8,15.5,2016,Pian delle Mole Langhe Nebbiolo
Blauer SpÃ¤tburgunder Trocken ,Germany,Pfalz,Knipser,3.9,11.2,2016,Blauer SpÃ¤tburgunder Trocken
Liaison Pinot Noir ,Germany,Baden,Enderle & Moll,3.8,19.72,2017,Pinot Noir
Teroldego Rotaliano Vigilius ,Italy,Teroldego Rotaliano,De Vescovi Ulzbach,4.1,24.27,2015,Teroldego Rotaliano Vigilius
Evaluna ,Italy,Garda,Sansonina,4.0,16.44,2016,Evaluna
Clancy's Red Blend ,Australia,Barossa,Peter Lehmann,3.5,12.12,2016,Red Blend
Syrah Pago GarduÃ±a ,Spain,Castilla y LeÃ³n,Abadia Retuerta,4.2,73.11,2014,Syrah
Saint-Ãmilion Grand Cru (Premier Grand Cru ClassÃ©) ,France,Saint-Ãmilion Grand Cru,ChÃ¢teau Trotte Vieille,4.1,70.19,2011,Saint-Ãmilion Grand Cru (Premier Grand Cru ClassÃ©)
Aquilae Nero d'Avola ,Italy,Sicilia,CVA Canicatti,3.6,8.6,2014,Nero
SorÃ¬ TildÃ¬n (Barbaresco) Langhe ,Italy,Langhe,Gaja,4.6,470.0,2014,SorÃ¬ TildÃ¬n (Barbaresco) Langhe
Cervidoni Rosso Piceno ,Italy,Rosso Piceno,Tenuta di Tavignano,3.8,7.7,2016,Rosso
ChÃ¢teau d'Ampuis CÃ´te-RÃ´tie ,France,CÃ´te-RÃ´tie,E. Guigal,3.9,99.0,2016,ChÃ¢teau d'Ampuis CÃ´te-RÃ´tie
Single Valley Lot Gran Reserva Syrah ,Chile,Colchagua Valley,Valdivieso,3.7,14.57,2014,Syrah
Saperavi - Cabernet ,Georgia,Kakheti,Mukhrani,3.9,14.9,2015,Cabernet
ChÃ¢teauneuf-du-Pape ,France,ChÃ¢teauneuf-du-Pape,ChÃ¢teau de Beaucastel,4.3,67.26,2014,ChÃ¢teauneuf-du-Pape
Douro Tinto ,Portugal,Douro,Casal Garcia,3.7,4.89,2018,Tinto
Pauillac (Grand Cru ClassÃ©) ,France,Pauillac,ChÃ¢teau Lynch-Bages,4.3,106.25,2012,Pauillac (Grand Cru ClassÃ©)
Red Blend N.V.,Chile,Lontue Valley,Caballo Loco,4.4,34.07,N.V.,Red Blend
Rara Neagra de Purcari ,Moldova,South Eastern,ChÃ¢teau Purcari,4.1,10.98,2018,Rara Neagra de Purcari
Malbec Argentino ,Argentina,Mendoza,Catena Zapata,4.6,77.01,2017,Malbec
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau Gruaud Larose,4.3,94.95,2005,Saint-Julien (Grand Cru ClassÃ©)
Ebbio Nebbiolo Langhe ,Italy,Langhe,Fontanafredda,3.5,14.21,2018,Ebbio Nebbiolo Langhe
 Cabernet Sauvignon ,Chile,Central Valley,Santa Rita,3.4,7.8,2017,Cabernet Sauvignon
ChÃ¢teau Trocard Bordeaux SupÃ©rieur ,France,Bordeaux SupÃ©rieur,Jean-Louis Trocard,3.2,9.26,2012,Bordeaux
Saint-Ãmilion Grand Cru ,France,Saint-Ãmilion Grand Cru,Le Dome,4.6,399.95,2010,Saint-Ãmilion Grand Cru
Barolo Riserva Monfortino ,Italy,Barolo,Giacomo Conterno,4.8,1115.5,2013,Barolo Riserva Monfortino
Tavkveri ,Georgia,Kakheti,Mukhrani,4.1,16.9,2016,Tavkveri
The Glass Collection Syrah ,South Africa,Stellenbosch,Glenelly,3.5,11.95,2014,Syrah
Rouge (Estate Reserve) ,South Africa,Stellenbosch,Morgenster Estate,4.1,36.5,2013,Rouge (Estate Reserve)
Primocolle Chianti Classico ,Italy,Chianti Classico,Villa Cerna,3.7,14.73,2016,Chianti
Saint-Ãmilion Grand Cru ,France,Saint-Ãmilion Grand Cru,ChÃ¢teau Grand Barrail Lamarzelle Figeac,3.8,29.5,2013,Saint-Ãmilion Grand Cru
Les Crus Terrasses du Larzac ,France,Terrasses du Larzac,Calmel & Joseph,3.9,12.62,2016,Les Crus Terrasses du Larzac
Galantas Gran Reserva Cabernet Franc ,Chile,Maipo Valley,Haras de Pirque,3.8,28.83,2016,Cabernet Franc
Cabernet Sauvignon ,South Africa,Western Cape,Protea,3.3,8.95,2017,Cabernet Sauvignon
Preta CuvÃ©e Grande Reserva ,Portugal,Alentejano,Fitapreta,4.3,35.09,2008,Preta CuvÃ©e Grande Reserva
Pinot Fin Bourgogne ,France,Bourgogne,Domaine Arnoux-Lachaux,3.6,39.69,2014,Pinot Fin Bourgogne
Musar Jeune Rouge ,Lebanon,Bekaa Valley,ChÃ¢teau Musar,3.8,10.84,2016,Musar Jeune Rouge
Reserva ,Spain,Rioja,Hacienda LÃ³pez de Haro,3.7,9.95,2015,Reserva
Bolgheri Superiore ,Italy,Bolgheri Superiore,Grattamacco,4.1,51.36,2014,Bolgheri Superiore
Barolo ,Italy,Barolo,Elio Altare,4.2,62.57,2015,Barolo
Brunello di Montalcino ,Italy,Brunello di Montalcino,Fattoria dei Barbi,4.1,32.88,2015,Brunello di Montalcino
Futures Shiraz ,Australia,Barossa,Peter Lehmann,3.8,15.03,2015,Futures Shiraz
'Rosso & Bianco' Shiraz ,United States,California,Francis Ford Coppola,3.8,13.25,2016,Rosso
Quinta Da Gricha Douro ,Portugal,Douro,Churchill's,4.6,56.84,2009,Quinta Da Gricha Douro
Barolo PrapÃ² ,Italy,Barolo,Ettore Germano,4.2,48.4,2010,Barolo PrapÃ²
Rosso di Montepulciano Prugnolo ,Italy,Rosso di Montepulciano,Boscarelli,3.7,12.9,2018,Rosso
Zephyrus Shiraz ,Australia,Barossa,Sons of Eden,4.0,31.19,2017,Zephyrus Shiraz
Teroldego Rotaliano ,Italy,Teroldego Rotaliano,De Vescovi Ulzbach,3.9,11.45,2016,Teroldego Rotaliano
Grand Grenache Gigondas ,France,Gigondas,Domaine Santa Duc,4.0,45.0,2012,Gigondas
 e Mezzo Negroamaro del Salento ,Italy,Salento,Varvaglione,3.8,7.31,2017,e Mezzo Negroamaro del Salento
La Bella Addormentata Terre di Chieti Sangiovese ,Italy,Terre di Chieti,Gran Sasso,3.6,7.32,2018,Sangiovese
Twin Oaks Cabernet Sauvignon ,United States,California,Robert Mondavi,3.2,7.69,2018,Cabernet Sauvignon
CuvÃ©e du Chaos Fleurie ,France,Fleurie,Les Bertrand,4.2,22.62,2018,CuvÃ©e du Chaos Fleurie
Limited Release Cabernet Sauvignon ,United States,Napa Valley,Black Stallion,4.0,106.89,2014,Cabernet Sauvignon
Gries Lagrein Riserva ,Italy,SÃ¼dtirol - Alto Adige,Nals Margreid,4.1,19.9,2017,Gries Lagrein Riserva
Saint-Ãmilion Grand Cru (Premier Grand Cru ClassÃ©) ,France,Saint-Ãmilion Grand Cru,ChÃ¢teau Belair-Monange,4.1,96.85,1998,Saint-Ãmilion Grand Cru (Premier Grand Cru ClassÃ©)
Cortevecchia Riserva Chianti Classico ,Italy,Chianti Classico,Principe Corsini,3.9,16.99,2015,Chianti
Le Redini ,Italy,Toscana,Tenuta Degli Dei,4.0,20.09,2015,Le Redini
Sangre de Toro Original ,Spain,Catalunya,Torres,3.5,6.73,2018,Sangre de Toro Original
Haut-MÃ©doc ,France,Haut-MÃ©doc,ChÃ¢teau Sociando-Mallet,4.2,59.95,2005,Haut
The Guvânor ,Spain,ValdepeÃ±as,FÃ©lix SolÃ­s,4.0,6.2,2019,The Guvânor
Gran Reserva Rioja (Tempranillo) ,Spain,Rioja,RamÃ³n Bilbao,3.9,18.23,2011,Gran Reserva Rioja (Tempranillo)
Pinot Noir ,New Zealand,Marlborough,Brancott Estate,3.6,9.99,2014,Pinot Noir
Pauillac (Grand Cru ClassÃ©) ,France,Pauillac,ChÃ¢teau Pichon Baron,4.5,309.9,2000,Pauillac (Grand Cru ClassÃ©)
Selected Vines Malbec (Barrancas Vineyards) ,Argentina,Mendoza,Pascual Toso,4.0,15.16,2017,Malbec
Terralis Shiraz - Malbec ,Argentina,Mendoza,Trivento,3.4,6.99,2015,Malbec
Testamatta Toscana ,Italy,Toscana,Bibi Graetz,4.2,105.0,2016,Testamatta Toscana
Mencia ,Spain,Valdeorras,A Portela,3.6,11.9,2014,Mencia
Compleo CuvÃ©e Noire ,Switzerland,ZÃ¼rich,Staatskellerei ZÃ¼rich,3.9,17.06,2018,Compleo CuvÃ©e Noire
Pommard ,France,Pommard,Bouchard PÃ¨re & Fils,4.0,48.54,2015,Pommard
Merlot ,South Africa,Stellenbosch,Zonnebloem,3.8,8.29,2017,Merlot
Bordeaux SupÃ©rieur ,France,Bordeaux SupÃ©rieur,ChÃ¢teau Le Gardera,3.8,8.78,2017,Bordeaux
Bandol Rouge ,France,Bandol,Gros' NorÃ©,4.1,31.9,2016,Bandol Rouge
Barolo Carobric ,Italy,Barolo,Paolo Scavino,4.3,74.69,2006,Barolo Carobric
Hommage Ã  Jacques Perrin ChÃ¢teauneuf-du-Pape ,France,ChÃ¢teauneuf-du-Pape,ChÃ¢teau de Beaucastel,4.5,341.18,2015,Hommage Ã  Jacques Perrin ChÃ¢teauneuf-du-Pape
Endinger Engelsberg SpÃ¤tburgunder Trocken ,Germany,Baden,Knab,3.7,16.95,2015,Endinger Engelsberg SpÃ¤tburgunder Trocken
Cabernet Sauvignon Reserva ,Chile,Colchagua Valley,Veramonte,3.5,8.5,2017,Cabernet Sauvignon
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau Saint-Pierre,4.1,82.86,2016,Saint-Julien (Grand Cru ClassÃ©)
Shiraz ,South Africa,Stellenbosch,Guardian Peak,3.5,9.9,2018,Shiraz
Poggio alle Mura Brunello di Montalcino ,Italy,Brunello di Montalcino,Banfi,4.2,37.73,2011,Poggio alle Mura Brunello di Montalcino
Estate Cabernet Sauvignon ,Australia,Clare Valley,Taylors / Wakefield,3.7,9.5,2016,Cabernet Sauvignon
HÃ©cula Monastrell ,Spain,Yecla,CastaÃ±o,3.4,8.78,2016,HÃ©cula Monastrell
Crozes-Hermitage Rouge ,France,Crozes-Hermitage,E. Guigal,3.8,19.9,2016,Crozes-Hermitage Rouge
Cannubi Boschis Barolo ,Italy,Barolo,Virna,4.2,52.29,2013,Cannubi Boschis Barolo
Gigondas ,France,Gigondas,Domaine la Bouissiere,4.1,22.9,2017,Gigondas
Pian delle Vigne Brunello di Montalcino ,Italy,Brunello di Montalcino,Antinori,4.1,55.0,2015,Pian delle Vigne Brunello di Montalcino
Merindol Syrah ,South Africa,Stellenbosch,Simonsig,3.9,24.27,2014,Syrah
Caprasia Bobal ,Spain,Utiel-Requena,Vegalfaro,3.8,11.05,2016,Caprasia Bobal
The Long Walk Shiraz ,South Africa,Western Cape,Footprint,3.4,7.25,2019,The Long Walk Shiraz
Les Restanques de Pibarnon ,France,Bandol,ChÃ¢teau de Pibarnon,3.8,28.55,2015,Les Restanques de Pibarnon
Madre Toscana ,Italy,Toscana,Poggio Antico,4.2,38.09,2009,Madre Toscana
Eolithe ,France,Saumur,ChÃ¢teau de Fosse-SÃ¨che,3.9,23.29,2017,Eolithe
Tenuta Greppone Mazzi Brunello di Montalcino ,Italy,Brunello di Montalcino,Ruffino,4.1,46.6,2014,Tenuta Greppone Mazzi Brunello di Montalcino
Enfant Sauvage ,France,CÃ´tes Catalanes,Domaine Les Enfants Sauvages,3.7,16.47,2017,Enfant Sauvage
Pinotage ,South Africa,Stellenbosch,Kaapzicht,3.9,17.01,2013,Pinotage
Gevrey-Chambertin ,France,Gevrey-Chambertin,Domaine Trapet,4.1,84.0,2017,Gevrey-Chambertin
La Villa Real Tempranillo ,Spain,La Mancha,Bodega la Remediadora,3.4,6.54,2015,La Villa Real Tempranillo
Bourgogne Pinot Noir ,France,Bourgogne,Hudelot-NoÃ«llat,3.5,19.45,2011,Pinot Noir
Barolo del Comune di Serralunga d'Alba ,Italy,Barolo,Boasso,4.1,28.27,2015,Barolo del Comune di Serralunga d'Alba
Holy Moly Shiraz ,Germany,Pfalz,Schneider,4.1,31.0,2015,Holy Moly Shiraz
Haut-MÃ©doc (Grand Cru ClassÃ©) ,France,Haut-MÃ©doc,ChÃ¢teau Cantemerle,3.9,52.95,2005,Haut
Saint-Julien (Grand Cru ClassÃ©) ,France,Saint-Julien,ChÃ¢teau Lagrange,4.1,69.95,2005,Saint-Julien (Grand Cru ClassÃ©)
Vitral Reserva Cabernet Sauvignon ,Chile,Maipo Valley,ViÃ±a Maipo,3.4,7.5,2017,Cabernet Sauvignon
CuvÃ©e Racoveanu Reserve ,Romania,Mehedinti,Corcova,4.1,17.5,2013,CuvÃ©e Racoveanu Reserve
Reserva Merlot ,Chile,Colchagua Valley,de Gras,3.8,9.36,2018,Reserva Merlot
Haut-MÃ©doc ,France,Haut-MÃ©doc,ChÃ¢teau Belle-Vue,3.8,18.95,2016,Haut
Tupungato Passo Doble Malbec - Corvina ,Argentina,Tupungato,Masi,3.5,7.95,2018,Malbec
Campogiovanni Brunello di Montalcino Riserva Il Quercione ,Italy,Brunello di Montalcino,San Felice,4.4,105.73,2010,Campogiovanni Brunello di Montalcino Riserva Il Quercione
Mavrotragano ,Greece,Santorini,Domaine Sigalas,4.2,36.95,2016,Mavrotragano
Barbaresco ,Italy,Barbaresco,Giacosa Fratelli,3.2,12.7,2014,Barbaresco
Moulin Ã  Vent ,France,Moulin-Ã -Vent,Terres DorÃ©es,3.8,17.9,2016,Moulin Ã  Vent
Don Tommaso Chianti Classico ,Italy,Chianti Classico,Principe Corsini,3.9,18.49,2015,Chianti
Vecchie Vigne Brunello di Montalcino ,Italy,Brunello di Montalcino,Siro Pacenti,4.0,75.0,2013,Vecchie Vigne Brunello di Montalcino
Traildust ,South Africa,Coastal Region,Beyerskloof,4.0,14.95,2017,Traildust
Cabernet Sauvignon ,South Africa,Western Cape,Leopardâs Leap,3.4,7.45,2018,Cabernet Sauvignon
Barbaresco Basarin Riserva ,Italy,Barbaresco,Negro Angelo,3.8,29.5,2015,Barbaresco Basarin Riserva
Cellar Selection Pinotage ,South Africa,Coastal Region,Kleine Zalze,3.6,9.5,2018,Cellar Selection Pinotage
Le Crosare Valpolicella Ripasso Classico Superiore ,Italy,Valpolicella Ripasso Classico,Lenotti,3.9,10.67,2017,Le Crosare Valpolicella Ripasso Classico Superiore
IirrÃ©sistible CÃ´tes de Provence ,France,CÃ´tes de Provence,Domaine de la Croix,3.7,13.5,2016,IirrÃ©sistible CÃ´tes de Provence
La ChasseliÃ¨re Crozes-Hermitage ,France,Crozes-Hermitage,Domaine Michelas St Jemms,3.8,17.9,2015,La ChasseliÃ¨re Crozes-Hermitage
Optima ,South Africa,Franschhoek,Anthonij Rupert,4.2,22.99,2014,Optima
Valpolicella ,Italy,Valpolicella,Tommasi,3.5,9.5,2018,Valpolicella
Conde de Valdemar Reserva ,Spain,Rioja,Bodegas Valdemar,3.7,10.89,2011,Conde de Valdemar Reserva
Laforet Bourgogne Pinot Noir ,France,Bourgogne,Joseph Drouhin,3.6,15.0,2015,Pinot Noir
Brunello di Montalcino ,Italy,Brunello di Montalcino,Caparzo,4.1,23.49,2014,Brunello di Montalcino
ViÃ±a Alberdi Reserva ,Spain,Rioja,La Rioja Alta,4.1,14.99,2014,ViÃ±a Alberdi Reserva
Rioja ,Spain,Rioja,MarquÃ©s de Riscal,4.1,59.99,2010,Rioja
Cembali Nero d'Avola ,Italy,Terre Siciliane,Baglio di Pianetto,4.0,24.86,2010,Nero
NoÃ  (Tenuta Presti e Pregni) ,Italy,Sicilia,Cusumano,3.9,25.95,2016,NoÃ  (Tenuta Presti e Pregni)
Pessac-LÃ©ognan ,France,Pessac-LÃ©ognan,ChÃ¢teau Haut-Bailly,4.0,131.6,2017,Pessac-LÃ©ognan
Russiz Superiore Cabernet Franc Collio ,Italy,Collio,Marco Felluga,3.9,23.99,2016,Cabernet Franc
Tempranillo ,Spain,Castilla,Maximo,3.4,4.16,2015,Tempranillo
Haus & Hof Merlot ,Austria,Burgenland,Hannes Reeh,3.6,8.52,2018,Haus & Hof Merlot
Regaleali Nero d'Avola ,Italy,Terre Siciliane,Tasca d'Almerita,3.5,7.52,2016,Nero
Montornello Chianti Classico Riserva ,Italy,Chianti Classico,Bibbiano,3.8,18.97,2014,Chianti
Barbera d'Alba ,Italy,Barbera d'Alba,Enzo Boglietti,3.9,17.29,2017,Barbera
Saint-EstÃ¨phe ,France,Saint-EstÃ¨phe,ChÃ¢teau Le Crock,4.0,32.65,2015,Saint-EstÃ¨phe
Fronsac ,France,Fronsac,ChÃ¢teau Hauchat,3.7,10.66,2016,Fronsac
Max Reserva Merlot ,Chile,Aconcagua Valley,Errazuriz,3.7,14.9,2017,Max Reserva Merlot
El Recio ,Spain,Toro,Matsu,4.1,12.2,2018,El Recio
Alta Mora Etna Rosso ,Italy,Etna,Cusumano,3.7,12.95,2017,Rosso
Musigny Grand Cru (CuveÃ© Vieilles Vignes) ,France,Musigny Grand Cru,Domaine Comte Georges de VogÃ¼Ã©,4.4,995.0,1990,Musigny Grand Cru (CuveÃ© Vieilles Vignes)
Fronsac ,France,Fronsac,ChÃ¢teau Moulin Haut-Laroque,3.8,19.45,2012,Fronsac
Classic BlaufrÃ¤nkisch ,Austria,Mittelburgenland,Hans Igler,3.7,8.8,2017,Classic BlaufrÃ¤nkisch
El NiÃ±o de Campillo Rioja ,Spain,Rioja,Campillo,3.6,9.99,2018,El NiÃ±o de Campillo Rioja
Pietra (Primitivo - Susumaniello) ,Italy,Salento,Menhir,4.1,12.9,2016,Primitivo
Gran Reserva ,Spain,Ribera del Duero,Protos,4.1,43.8,2012,Gran Reserva
Grand Cru Sagrada Familia ,Chile,Lontue Valley,Caballo Loco,4.4,27.2,2015,Grand Cru Sagrada Familia
Cordillera Reserva Especial CarmenÃ¨re ,Chile,Curico Valley,Miguel Torres,3.7,15.13,2017,Cordillera Reserva Especial CarmenÃ¨re
Gran Reserva Cabernet Sauvignon (SelecciÃ³n del Directorio) ,Chile,Colchagua Valley,Santa Helena,3.5,9.49,2013,Cabernet Sauvignon
Montepulciano d'Abruzzo Marina Cvetic ,Italy,Montepulciano d'Abruzzo,Masciarelli,4.1,20.4,2016,Montepulciano d'Abruzzo Marina Cvetic
Single Vineyard Cabernet Franc ,Chile,Colchagua Valley,Valdivieso,3.9,16.38,2015,Cabernet Franc
Nerello Mascalese ,Italy,Terre Siciliane,Di Giovanna,3.6,10.5,2013,Nerello Mascalese
Alicante - MourvÃ¨dre ,Chile,Maule Valley,Erasmo,3.5,18.0,2013,Alicante - MourvÃ¨dre
Rosso di Montalcino ,Italy,Rosso di Montalcino,Collosorbo,4.0,17.89,2017,Rosso
Roda I Reserva Rioja ,Spain,Rioja,Bodegas Roda,4.4,46.5,2015,Roda I Reserva Rioja
Serpaiolo Rosso Toscana ,Italy,Maremma Toscana,Serpaia di Endrizzi,3.9,9.5,2017,Rosso
The Villain Cabernet Sauvignon ,Australia,McLaren Vale,Hugh Hamilton,3.8,17.35,2015,Cabernet Sauvignon
Villa Mura Merlot Veneto ,Italy,Veneto,Sartori,3.4,4.57,2016,Villa Mura Merlot Veneto
Red Blend ,South Africa,Swartland,Badenhorst,3.8,24.9,2015,Red Blend
Mason Pinot Nero ,Italy,SÃ¼dtirol - Alto Adige,Manincor,4.1,27.2,2017,Nero
Les RabassiÃ¨res CÃ´tes-du-RhÃ´ne Rouge ,France,CÃ´tes-du-RhÃ´ne,Maison Bouachon,3.7,8.29,2017,Les RabassiÃ¨res CÃ´tes-du-RhÃ´ne Rouge
Gran Reserva Cabernet Sauvignon ,Chile,Colchagua Valley,TerraNoble,4.0,13.9,2017,Cabernet Sauvignon
Riserva Salice Salentino ,Italy,Salice Salentino,Paololeo,4.2,11.95,2012,Riserva Salice Salentino
Gaudenz Trocken ,Germany,Pfalz,Knipser,3.8,9.8,2016,Gaudenz Trocken
Zane Valpolicella Ripasso Classico Superiore ,Italy,Valpolicella Ripasso Classico,Boscaini Carlo,4.2,18.95,2016,Zane Valpolicella Ripasso Classico Superiore
Pinotage ,South Africa,Western Cape,Golden Kaan,3.7,5.79,2019,Pinotage
Melck's Blended Red ,South Africa,Stellenbosch,Muratie,3.7,9.05,2015,Melck's Blended Red
Fronsac ,France,Fronsac,ChÃ¢teau du Carillon,3.6,9.9,2010,Fronsac
Le Naturel Red ,Spain,Navarra,Aroa,3.6,12.95,2019,Le Naturel Red
Tinto ,Portugal,Bairrada,Vadio,3.8,25.9,2009,Tinto
Pessac-LÃ©ognan (Grand Cru ClassÃ© de Graves) ,France,Pessac-LÃ©ognan,ChÃ¢teau de Fieuzal,4.0,51.66,2016,Pessac-LÃ©ognan (Grand Cru ClassÃ© de Graves)
Private Bin Merlot - Cabernet Sauvignon ,New Zealand,Hawke's Bay,Villa Maria,3.6,11.95,2018,Cabernet Sauvignon
Ultra Cabernet Sauvignon ,Argentina,Mendoza,Kaiken,3.8,16.09,2016,Cabernet Sauvignon
Meandro Douro Tinto ,Portugal,Douro,Quinta do Vale MeÃ£o,4.0,15.5,2017,Tinto
Diamond Collection Merlot (Blue Label) ,United States,Napa Valley,Francis Ford Coppola,3.8,26.31,2016,Diamond Collection Merlot (Blue Label)
La Groletta Amarone della Valpolicella ,Italy,Amarone della Valpolicella,Corte Giara,4.1,33.76,2016,La Groletta Amarone della Valpolicella
Gattinara ,Italy,Gattinara,Travaglini,4.0,29.24,2016,Gattinara
Pipoli Aglianico del Vulture ,Italy,Aglianico del Vulture,Vigneti del Vulture,3.8,5.9,2018,Pipoli Aglianico del Vulture
Pinot Noir PequeÃ±as Producciones ,Chile,Casablanca Valley,Casas del Bosque,3.9,28.95,2017,Pinot Noir
Bons Ventos Rouge ,Portugal,Lisboa,Casa Santos Lima,3.6,5.75,2018,Bons Ventos Rouge
Bordeaux ,France,Bordeaux,Domaine de Valmengaux,4.1,34.71,2012,Bordeaux
Just Fucking Good Wine Organic Tinto ,Spain,Valencia,Neleman,3.7,14.44,2018,Tinto
Altitud Merlot ,Argentina,Tupungato,Andeluna,3.7,16.17,2015,Altitud Merlot
DoÃ±a Margarita Vineyard Mas Cavalls Pinot Noir ,United States,Sonoma Coast,Marimar Estate,4.2,56.4,2016,Pinot Noir
Black Label Syrah - Monastrell ,Spain,Almansa,Bodegas Piqueras,3.5,6.72,2017,Syrah
Merlot (Jan Fiskaal) ,South Africa,Coastal Region,MAN,3.5,7.19,2016,Merlot (Jan Fiskaal)
ChÃ¢teau Brassac Bordeaux SupÃ©rieur ,France,Bordeaux SupÃ©rieur,Kressmann,3.3,9.26,2015,Bordeaux
Autour de JonquiÃ¨res Terrasses du Larzac ,France,Terrasses du Larzac,Mas Jullien,4.0,31.39,2015,Autour de JonquiÃ¨res Terrasses du Larzac
La Rosine Syrah ,France,Collines Rhodaniennes,Michel & StÃ©phane Ogier,4.0,19.9,2017,Syrah
Saint-Joseph Lieu-Dit ,France,Saint-Joseph,E. Guigal,4.4,46.64,2016,Saint-Joseph Lieu-Dit
Kurni Marche ,Italy,Marche,Oasi degli Angeli,4.6,106.6,2017,Kurni Marche
Mi Pueblo Cabernet Sauvignon ,Chile,Central Valley,ViÃ±a Maipo,3.3,6.5,2019,Cabernet Sauvignon
Jois Blaufrankisch ,Austria,Burgenland,Scheiblhofer,3.8,26.22,2016,Jois Blaufrankisch
San Nicolao Barbera d'Asti ,Italy,Barbera d'Asti,Vite Colte,3.2,6.1,2018,Barbera
Haut-MÃ©doc ,France,Haut-MÃ©doc,ChÃ¢teau Fontesteau,3.7,18.86,2014,Haut
Pomerol ,France,Pomerol,ChÃ¢teau Latour Ã  Pomerol,4.3,101.74,2012,Pomerol
Mercurey ,France,Mercurey,Faiveley,4.0,33.9,2017,Mercurey
Vinha Grande Douro ,Portugal,Douro,Casa Ferreirinha,4.0,12.63,2017,Vinha Grande Douro
Sapaio Bolgheri Volpolo ,Italy,Bolgheri,Podere Sapaio,3.9,23.37,2015,Sapaio Bolgheri Volpolo
Saint-Julien ,France,Saint-Julien,ChÃ¢teau Gloria,3.8,54.95,2008,Saint-Julien
RomÃ¡ntica Crianza ,Spain,Ribera del Duero,Bodega de Bardos,3.9,10.89,2017,Crianza
Cabernet Sauvignon ,Argentina,Tupungato,Domaine Bousquet,3.7,7.27,2019,Cabernet Sauvignon
Lapa Cabernet Sauvignon ,South Africa,Stellenbosch,Guardian Peak,3.9,29.0,2012,Cabernet Sauvignon
